,m318,m858,m50,m527,m1198,m904,m260,m750,m912,m2762,m913,m1193,m923,m908,m1221,m593,m1252,m2028,m1136,m2324,m1234,m2858,m2571,m1197,m1233,m1196,m296,m1213,m541,m608,m1225,m969,m1278,m919,m1247,m1208,m2804,m110,m2692,m1617,m3114,m1219,m1304,m1358,m1242,m111,m1288,m1704,m1214,m3147,m1240,m1,m1230,m1089,m1291,m2396,m1200,m2997,m1294,m1036,m2918,m1222,m47,m3578,m1258,m457,m1259,m1090,m1387,m356,m1206,m2959,m150,m1307,m924,m589,m1961,m3421,m1610,m3671,m1210,m1394,m3471,m2194,m920,m1674,m1270,m1079,m2791,m1097,m1265,m1784,m223,m32,m1954,m1220,m2268,m2599,m3481,m590
u2463,,4.0,,,5.0,,,,,,,,,5.0,,,,,,,,5.0,,4.0,,5.0,,,,3.0,,,,,,,,5.0,,,,,,,3.0,,,,,,4.0,,,,4.0,,3.0,,,4.0,,5.0,,,,,5.0,4.0,,,,,,,,4.0,,,,,4.0,,,4.0,,,,,5.0,4.0,,,,,,4.0,,,,
u2464,4.0,4.0,,5.0,,,3.0,,,,,,,,5.0,5.0,,4.0,,,,4.0,,4.0,,,,,,4.0,,,,4.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,3.0,
u2465,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,3.0,,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,,4.0,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,4.0,,5.0,,4.0,5.0,5.0,5.0,5.0,,5.0,4.0,3.0,4.0,,5.0,5.0,,4.0,,5.0,5.0,4.0,,3.0,,4.0,4.0,4.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,,,,4.0,,,,5.0,4.0,3.0,,,,4.0,5.0,4.0,,,,,,,,4.0,5.0
u2466,,,,,,,4.0,5.0,,,5.0,,,5.0,,,4.0,2.0,,,,4.0,4.0,,,4.0,,,4.0,5.0,,,,,,,,1.0,,4.0,,,,,,,,,4.0,,4.0,,,,,,5.0,,,,,,,4.0,,,,5.0,,,5.0,,,,5.0,2.0,3.0,,,,2.0,,4.0,,,,2.0,,4.0,3.0,,,4.0,4.0,,,,,5.0,
u2467,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,
u2468,5.0,4.0,,5.0,4.0,,5.0,,,,,4.0,,,4.0,5.0,,5.0,4.0,,4.0,,5.0,5.0,,5.0,,,,,,,4.0,,,,,,,,4.0,,,,5.0,4.0,,5.0,5.0,,5.0,3.0,,,5.0,5.0,5.0,,4.0,4.0,,,,,,4.0,,,,5.0,4.0,,4.0,,,5.0,,,4.0,4.0,5.0,,,,,,,,,,4.0,,,,,,,,,5.0
u2469,,5.0,,,5.0,,5.0,,,,4.0,,,5.0,4.0,,,2.0,,,,,,5.0,,,,,,,,5.0,,,,,,3.0,,,,,3.0,,5.0,5.0,,,5.0,,5.0,,,,,,5.0,3.0,,4.0,,5.0,,3.0,,,,,5.0,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,3.0,,,,,4.0,,
u247,5.0,,,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
u2470,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2471,,,,,,,,,5.0,,,,,5.0,,,,,,,,5.0,,,,,,,,5.0,,5.0,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,
u2472,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,,4.0,,5.0,3.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,,,5.0,5.0,5.0,,4.0,5.0,,3.0,4.0,,4.0,4.0,5.0,,5.0,,4.0,,,,4.0,5.0,5.0,4.0,3.0,,,,4.0,3.0,,4.0,3.0,,2.0,3.0,5.0,,4.0,,,,,3.0,5.0,,2.0,4.0,,,4.0,4.0,5.0,3.0,5.0,,5.0,4.0,4.0,3.0,,4.0,5.0,5.0,3.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,,3.0,4.0
u2473,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,
u2474,,,5.0,,,,,,,,,4.0,,,,,5.0,,,,,5.0,5.0,,,,,,,4.0,,,,,,,,5.0,,5.0,,5.0,,,,4.0,,,3.0,5.0,,,,,,,,,,,,,5.0,,,,5.0,4.0,5.0,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
u2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,5.0,,,,,,5.0,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
u2476,,4.0,,,,,,,4.0,,,4.0,,5.0,,5.0,,,,,,3.0,,,5.0,3.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,4.0,,4.0,,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,
u2477,,5.0,,5.0,,4.0,,5.0,5.0,,5.0,,5.0,5.0,4.0,5.0,,,,3.0,,,,,,4.0,,,,5.0,,5.0,,5.0,5.0,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
u2478,3.0,5.0,,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,,4.0,,,,4.0,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,3.0,3.0,,4.0,,4.0,5.0,,,4.0,,4.0,4.0,3.0,4.0,3.0,4.0,,4.0,,,4.0,4.0,,,,,4.0,4.0,3.0,,,3.0,3.0,4.0,,3.0,3.0,5.0,3.0,,3.0,,3.0,4.0,,4.0,,3.0,,3.0,,4.0,3.0,4.0,,,,3.0,3.0,4.0,,,
u2479,,,,5.0,,,4.0,,,,,,,,,,,5.0,,,,,3.0,5.0,,,,,,,,,4.0,,,,,,,5.0,,5.0,,,,,,,4.0,,3.0,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
u248,,,,,5.0,,5.0,,,,,,,,,,,,,,,,5.0,3.0,,5.0,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,4.0,,,,,,,,,5.0,,5.0,,,,5.0,,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,
u2480,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,4.0,,,,,,,,5.0,,,,,,4.0,
u2481,,,,,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,4.0,3.0,,,,,,4.0,,,,,,3.0,4.0,3.0,4.0,4.0,,,,,,4.0,,5.0,4.0,,,1.0,,,4.0,,3.0,,4.0,,,,,,5.0,3.0,4.0,,,,4.0,2.0,,,,,,,,3.0,,,,5.0,,4.0,,,4.0,,5.0,,4.0,5.0,,,3.0,,4.0,,,5.0,,,4.0,
u2482,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,5.0,,,,4.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,2.0,,,3.0,,,,,,,,
u2483,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
u2484,5.0,2.0,,5.0,5.0,,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,,,3.0,5.0,,,5.0,3.0,4.0,4.0,,5.0,,1.0,4.0,,,3.0,,5.0,,3.0,4.0,3.0,,4.0,5.0,,5.0,3.0,5.0,3.0,,,5.0,4.0,5.0,5.0,2.0,,4.0,4.0,3.0,,4.0,5.0,4.0,3.0,3.0,5.0,,4.0,4.0,5.0,5.0,5.0,,,,4.0,1.0,4.0,5.0,5.0,,3.0,5.0,3.0,,4.0,5.0,,5.0,,3.0,3.0,5.0,5.0,,3.0,,3.0,4.0,3.0,3.0,3.0
u2485,5.0,,5.0,5.0,,,,,,4.0,,5.0,,,5.0,5.0,,4.0,,5.0,,4.0,4.0,,,4.0,,5.0,,3.0,5.0,,,5.0,,3.0,,4.0,,3.0,4.0,,,5.0,,3.0,,5.0,,5.0,,4.0,,,,4.0,,,,,,,,4.0,,4.0,5.0,4.0,,3.0,,3.0,5.0,,,4.0,5.0,,3.0,,,,4.0,3.0,,4.0,,,,4.0,3.0,4.0,3.0,,,,5.0,3.0,,4.0
u2486,3.0,,,3.0,,,,,4.0,,,,4.0,5.0,5.0,5.0,,4.0,,3.0,,3.0,,,,4.0,4.0,4.0,,5.0,4.0,,5.0,,5.0,5.0,4.0,,,,5.0,,,,,5.0,4.0,,,,,,5.0,,,4.0,,4.0,5.0,,3.0,,,,,,3.0,,,,,4.0,3.0,,,,,,,3.0,4.0,4.0,,,,2.0,,3.0,3.0,,,,3.0,,,,,5.0,,
u2487,4.0,4.0,,4.0,5.0,,4.0,,,,,,,4.0,4.0,,3.0,,,,,,,,,,,,,3.0,4.0,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,3.0,,,5.0,,5.0,,,,,,,4.0,,,,,,,,,,,,,2.0
u2488,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
u2489,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,4.0,,5.0,,4.0,,3.0,,4.0,,3.0,,4.0,3.0,4.0,,,5.0,3.0,,5.0,4.0,4.0,,,4.0,,4.0,3.0,,4.0,,,4.0,4.0,4.0,3.0,,3.0,,4.0,,3.0,4.0,3.0,,4.0,,5.0,,4.0,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,,4.0,,4.0,3.0,4.0,,,4.0,,3.0,,,3.0,,,,,4.0,2.0,4.0,4.0,4.0,4.0,,3.0,,3.0,3.0,,3.0,5.0
u249,5.0,,4.0,,,,5.0,,,,,,,,,3.0,,,5.0,,,,1.0,5.0,,5.0,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,5.0,4.0,,,,,5.0,1.0,,,5.0,4.0,,,,,5.0,,,,5.0,,,5.0,5.0,,4.0,3.0,4.0,,,5.0,,,,,,5.0,,,,3.0,,,,,,5.0,,,
u2490,,4.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
u2491,,,,,5.0,,5.0,,,4.0,,,,,,,,,,,,,,3.0,,5.0,,,,,,4.0,,3.0,,,,5.0,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,5.0,
u2492,5.0,,,5.0,4.0,,5.0,,4.0,,,,,,,,,,,,,,,5.0,,5.0,,,,5.0,4.0,,,,5.0,,5.0,,,,,,,,,,,,,,3.0,,3.0,,3.0,5.0,,,,3.0,4.0,,,,,,5.0,,,5.0,,,,5.0,,,,,,,5.0,3.0,,,5.0,,4.0,,,5.0,2.0,,,,,,,,,
u2493,,,3.0,,,5.0,4.0,,,,5.0,,,,,3.0,5.0,,,,,,3.0,,,5.0,,,5.0,3.0,,,,,,,,,,4.0,,,,3.0,,,,,5.0,,5.0,,,3.0,,,5.0,,,,,,,4.0,,3.0,,,,,,,,,3.0,5.0,,,3.0,,,,,,2.0,,,,,4.0,,,,2.0,,,,,,
u2494,,,,5.0,,,,,,,,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,3.0,,
u2495,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2496,4.0,5.0,,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,,4.0,,,,4.0,2.0,4.0,4.0,2.0,3.0,4.0,,5.0,,4.0,4.0,4.0,4.0,,,3.0,5.0,3.0,5.0,,3.0,,,,5.0,3.0,3.0,3.0,,,,3.0,,,4.0,,4.0,3.0,,4.0,3.0,3.0,2.0,5.0,5.0,4.0,,,,4.0,4.0,,4.0,4.0,4.0,,,3.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,4.0,4.0,3.0,,,3.0
u2497,,,,,,,5.0,,5.0,,,5.0,5.0,,,,5.0,,,,,4.0,,,,,,,,,5.0,4.0,,,,,,5.0,,,,,5.0,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,5.0,5.0,,5.0,,,,,5.0,,5.0,,,5.0,,,,5.0,,4.0,,,5.0,,,,4.0,,,,
u2498,,,,4.0,,2.0,,,,,5.0,,,3.0,,4.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,4.0,2.0,,,,,,,,1.0,,,,,,3.0,,,4.0,,,3.0,,,4.0,,,,,,,,,4.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,4.0
u2499,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
u25,,,,,5.0,,5.0,,,,,,,,,,,5.0,,4.0,,,3.0,,,5.0,,,,,,,,,,,2.0,3.0,5.0,,4.0,,,,,,,4.0,,,,,,,5.0,,,,,,,,,4.0,,,,,3.0,,,,4.0,,,,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,,
u250,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,
u2500,,,,4.0,,,,3.0,3.0,,,,,4.0,,,,5.0,,,,4.0,4.0,,,4.0,,,,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,3.0,,,,5.0,,3.0,,4.0,,,,,,,,,5.0,,4.0,,,,5.0,,,,4.0,,,,,,,,,,,
u2501,5.0,4.0,,5.0,,5.0,5.0,,4.0,4.0,,4.0,5.0,,5.0,5.0,,,5.0,,,4.0,,3.0,,5.0,,5.0,,3.0,,,3.0,5.0,,4.0,5.0,,4.0,,4.0,,,,,,5.0,,,,,4.0,,,,3.0,,,,,,,,4.0,,,,,,,,4.0,,4.0,3.0,,,3.0,,,,5.0,,,,,3.0,,5.0,,5.0,,4.0,,,,,,,
u2502,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,5.0,,
u2503,,,,,5.0,,,,,,3.0,2.0,,,,,,,,,,,,5.0,,4.0,,,4.0,,5.0,,,,,,4.0,,,,5.0,,,,2.0,,,,,,5.0,,,,4.0,,5.0,,,5.0,2.0,4.0,,,,,,,,,,,,2.0,,,2.0,,,,4.0,,,5.0,,5.0,5.0,,1.0,3.0,,,,,,,,,,
u2504,,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,,,5.0,4.0,4.0,4.0,4.0,5.0,,,,5.0,5.0,,4.0,5.0,5.0,,5.0,4.0,,,,,4.0,4.0,,,,4.0,,,,,,4.0,4.0,,5.0,,,,,5.0,4.0,3.0,4.0,,,,,5.0,4.0,3.0,5.0,,3.0,3.0,,3.0,,3.0,,,5.0,5.0,4.0,,4.0,5.0,5.0,,,,,,,,4.0,,3.0,,,5.0,,,,,3.0,
u2505,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,5.0,,,4.0,,5.0,,,,,,,,4.0,,,,,,5.0,,,,,
u2506,5.0,,,,4.0,3.0,,,,,,,,,,5.0,5.0,,,,,5.0,,5.0,,,5.0,,,4.0,5.0,,,,5.0,,5.0,,,,,,,,3.0,,5.0,,,,3.0,,,,3.0,4.0,,,,,3.0,4.0,,,5.0,,5.0,5.0,,5.0,,,,5.0,,,5.0,,,,4.0,5.0,,,5.0,4.0,3.0,5.0,2.0,,2.0,,,,,3.0,,,5.0,
u2507,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,5.0,4.0,5.0,,5.0,4.0,3.0,5.0,4.0,3.0,5.0,,5.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0
u2508,3.0,,,,,,4.0,,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
u2509,,5.0,,5.0,4.0,,3.0,,,,,,,,4.0,,,4.0,,,,,,,,3.0,,,,,,4.0,,,,,,4.0,3.0,,,,3.0,,4.0,,,,4.0,,,,,,,,4.0,,,3.0,,,,,,,,,3.0,,,,,,,4.0,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,
u251,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,3.0,,,,,,,4.0,,4.0,,,5.0,,,,,,,,4.0,5.0,,,,,,2.0,,4.0,,,,4.0
u2510,,5.0,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,5.0,,5.0,,,,,,,5.0,,,,,,,,5.0,,5.0,5.0,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,5.0,,,,,,,,,,,,,
u2511,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,4.0,,4.0,,,5.0,,,4.0,,,,,,5.0,,,5.0,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,2.0,
u2512,5.0,,,4.0,,,,,,,,,4.0,,4.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2513,,,,,,,,,,,,,,,,,,5.0,,5.0,,5.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,5.0,,,,,,4.0,,,4.0,,,4.0,,5.0,,,,,,,,,,,,,4.0,,,5.0,4.0,,,,5.0,,,,,5.0,5.0,5.0,,4.0,,,,,,,,,
u2514,,,,5.0,,5.0,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2515,,,,,,,4.0,3.0,,,,4.0,3.0,,,,,,,,,,5.0,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,3.0,,5.0,,,,4.0,,,4.0,,,,,,,,,,
u2516,,,,,,,,,4.0,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2517,5.0,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,3.0,,3.0,,,,,2.0,,,,,,3.0,5.0,,5.0,,,,,,,,
u2518,,,,,5.0,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,5.0
u2519,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,4.0,,,,
u252,,,,,,,,,,,,,,,,,,4.0,,,,5.0,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,
u2520,,5.0,,,,,,,,,4.0,,,,,,5.0,,,,,,,,,,,,4.0,,,4.0,,,3.0,,,,4.0,5.0,,,,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,
u2521,,,,4.0,5.0,,4.0,,,4.0,,,,,,3.0,,5.0,2.0,,,,5.0,,,4.0,,,,,,,,3.0,,,,5.0,,,,,,,,,,5.0,,,5.0,,,,,,,,,,4.0,,,,,5.0,,,3.0,5.0,,,,,,5.0,,5.0,,,4.0,,,,,,4.0,,,,,,,,4.0,,,,,5.0
u2522,,5.0,,,5.0,,5.0,,,,,,,,4.0,,,,,,,,2.0,,,5.0,,,,,,,,,,,,5.0,,,,,4.0,,,,,,,,4.0,,3.0,,3.0,,,,,4.0,,4.0,,,,4.0,,,3.0,,,,,,,,,,5.0,,5.0,,4.0,,,,,,,,,,,,5.0,4.0,,,,
u2523,5.0,5.0,5.0,,5.0,,5.0,,,5.0,,,,,5.0,,,,5.0,,,5.0,,5.0,,5.0,4.0,5.0,5.0,5.0,4.0,,,5.0,4.0,5.0,,4.0,,5.0,,,,,,,3.0,3.0,4.0,,,,,5.0,5.0,,,,,4.0,3.0,,5.0,,,,4.0,4.0,3.0,5.0,5.0,5.0,,4.0,5.0,3.0,4.0,4.0,,,,5.0,,,,,3.0,5.0,4.0,4.0,3.0,,4.0,,,3.0,,,,
u2524,,,,,4.0,4.0,,,,,,,,,,4.0,1.0,,1.0,,5.0,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,4.0,,2.0,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,2.0,,,,,
u2525,,,,,,,3.0,,,,,,,,4.0,,,,4.0,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,4.0,,,,,,,,3.0,,,,,4.0,4.0,2.0,,3.0,,,,,,,,,
u2526,4.0,5.0,,5.0,,4.0,3.0,5.0,,,5.0,3.0,,5.0,5.0,,4.0,,,4.0,,5.0,1.0,,5.0,4.0,,5.0,4.0,3.0,4.0,5.0,,,5.0,3.0,,,,,,5.0,,,,4.0,,,3.0,,2.0,,,5.0,,,3.0,,,3.0,2.0,,,3.0,,5.0,,,,,2.0,,3.0,5.0,4.0,2.0,,5.0,3.0,4.0,3.0,,3.0,5.0,5.0,4.0,3.0,,,3.0,,,,,,,,,,
u2527,,5.0,,,,,5.0,,,,,,,,5.0,,,5.0,,,,,5.0,,,3.0,,,,,,3.0,,,,,,5.0,,,,,5.0,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
u2528,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,
u2529,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,,5.0,,3.0,,4.0,3.0,5.0,,4.0,5.0,,4.0,,5.0,5.0,,5.0,1.0,3.0,4.0,,4.0,4.0,5.0,3.0,,3.0,5.0,5.0,,,5.0,4.0,4.0,,,,3.0,5.0,4.0,5.0,4.0,5.0,2.0,,5.0,3.0,4.0,,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,,,4.0,3.0,3.0,,,,4.0
u253,,,,,,,4.0,,,,,,,,,4.0,,,,,,3.0,,,4.0,,5.0,,,4.0,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,3.0,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
u2530,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2531,,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,
u2532,5.0,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,,3.0
u2533,,,,,,,,,,,,,,,,4.0,,5.0,,,,4.0,,,,,,,,,4.0,,,,,,5.0,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,,,,,,5.0,5.0,4.0,,,,,,,,3.0
